k,time_s,pwmVal,position,courant,positionRef,courantRef,positionReel,courantReel
0,0.000000,50,0,0,0.038654,0.000000,-0.038654,0.000000
1,0.002000,50,0,0,0.038654,0.000000,-0.038654,0.000000
2,0.004000,50,0,0,0.038654,0.000000,-0.038654,0.000000
3,0.006000,50,0,0,0.038654,0.000000,-0.038654,0.000000
4,0.008000,50,0,0,0.038654,0.000000,-0.038654,0.000000
5,0.010000,50,0,0,0.038654,0.000000,-0.038654,0.000000
6,0.012000,50,0,0,0.038654,0.000000,-0.038654,0.000000
7,0.014000,50,0,0,0.038654,0.000000,-0.038654,0.000000
8,0.016000,50,0,0,0.038654,0.000000,-0.038654,0.000000
9,0.018000,50,0,0,0.038654,0.000000,-0.038654,0.000000
10,0.020000,50,0,0,0.038654,0.000000,-0.038654,0.000000
11,0.022000,50,0,0,0.038654,0.000000,-0.038654,0.000000
12,0.024000,50,0,0,0.038654,0.000000,-0.038654,0.000000
13,0.026000,50,0,0,0.038654,0.000000,-0.038654,0.000000
14,0.028000,50,0,0,0.038654,0.000000,-0.038654,0.000000
15,0.030000,50,0,0,0.038654,0.000000,-0.038654,0.000000
16,0.032000,50,0,0,0.038654,0.000000,-0.038654,0.000000
17,0.034000,50,0,0,0.038654,0.000000,-0.038654,0.000000
18,0.036000,50,0,0,0.038654,0.000000,-0.038654,0.000000
19,0.038000,50,0,0,0.038654,0.000000,-0.038654,0.000000
20,0.040000,50,0,0,0.038654,0.000000,-0.038654,0.000000
21,0.042000,50,0,0,0.038654,0.000000,-0.038654,0.000000
22,0.044000,50,0,0,0.038654,0.000000,-0.038654,0.000000
23,0.046000,50,0,0,0.038654,0.000000,-0.038654,0.000000
24,0.048000,50,0,0,0.038654,0.000000,-0.038654,0.000000
25,0.050000,50,0,0,0.038654,0.000000,-0.038654,0.000000
26,0.052000,50,0,0,0.038654,0.000000,-0.038654,0.000000
27,0.054000,50,0,0,0.038654,0.000000,-0.038654,0.000000
28,0.056000,50,0,0,0.038654,0.000000,-0.038654,0.000000
29,0.058000,50,0,0,0.038654,0.000000,-0.038654,0.000000
30,0.060000,50,0,0,0.038654,0.000000,-0.038654,0.000000
31,0.062000,50,0,0,0.038654,0.000000,-0.038654,0.000000
32,0.064000,50,0,0,0.038654,0.000000,-0.038654,0.000000
33,0.066000,50,0,0,0.038654,0.000000,-0.038654,0.000000
34,0.068000,50,0,0,0.038654,0.000000,-0.038654,0.000000
35,0.070000,50,0,0,0.038654,0.000000,-0.038654,0.000000
36,0.072000,50,0,0,0.038654,0.000000,-0.038654,0.000000
37,0.074000,50,0,0,0.038654,0.000000,-0.038654,0.000000
38,0.076000,50,0,0,0.038654,0.000000,-0.038654,0.000000
39,0.078000,50,0,0,0.038654,0.000000,-0.038654,0.000000
40,0.080000,50,0,0,0.038654,0.000000,-0.038654,0.000000
41,0.082000,50,0,0,0.038654,0.000000,-0.038654,0.000000
42,0.084000,50,0,0,0.038654,0.000000,-0.038654,0.000000
43,0.086000,50,0,0,0.038654,0.000000,-0.038654,0.000000
44,0.088000,50,0,0,0.038654,0.000000,-0.038654,0.000000
45,0.090000,50,1,0,0.038654,0.000000,0.961346,0.000000
46,0.092000,50,1,0,0.038654,0.000000,0.961346,0.000000
47,0.094000,50,0,0,0.038654,0.000000,-0.038654,0.000000
48,0.096000,50,0,0,0.038654,0.000000,-0.038654,0.000000
49,0.098000,50,0,0,0.038654,0.000000,-0.038654,0.000000
50,0.100000,50,0,0,0.038654,0.000000,-0.038654,0.000000
51,0.102000,50,0,0,0.038654,0.000000,-0.038654,0.000000
52,0.104000,50,0,0,0.038654,0.000000,-0.038654,0.000000
53,0.106000,50,0,0,0.038654,0.000000,-0.038654,0.000000
54,0.108000,50,0,0,0.038654,0.000000,-0.038654,0.000000
55,0.110000,50,0,0,0.038654,0.000000,-0.038654,0.000000
56,0.112000,50,0,0,0.038654,0.000000,-0.038654,0.000000
57,0.114000,50,0,0,0.038654,0.000000,-0.038654,0.000000
58,0.116000,50,0,0,0.038654,0.000000,-0.038654,0.000000
59,0.118000,50,0,0,0.038654,0.000000,-0.038654,0.000000
60,0.120000,50,0,0,0.038654,0.000000,-0.038654,0.000000
61,0.122000,50,1,0,0.038654,0.000000,0.961346,0.000000
62,0.124000,50,1,0,0.038654,0.000000,0.961346,0.000000
63,0.126000,50,0,0,0.038654,0.000000,-0.038654,0.000000
64,0.128000,50,0,0,0.038654,0.000000,-0.038654,0.000000
65,0.130000,50,0,0,0.038654,0.000000,-0.038654,0.000000
66,0.132000,50,0,0,0.038654,0.000000,-0.038654,0.000000
67,0.134000,50,0,0,0.038654,0.000000,-0.038654,0.000000
68,0.136000,50,0,0,0.038654,0.000000,-0.038654,0.000000
69,0.138000,50,0,0,0.038654,0.000000,-0.038654,0.000000
70,0.140000,50,0,0,0.038654,0.000000,-0.038654,0.000000
71,0.142000,50,0,0,0.038654,0.000000,-0.038654,0.000000
72,0.144000,50,0,0,0.038654,0.000000,-0.038654,0.000000
73,0.146000,50,0,0,0.038654,0.000000,-0.038654,0.000000
74,0.148000,50,0,0,0.038654,0.000000,-0.038654,0.000000
75,0.150000,50,0,0,0.038654,0.000000,-0.038654,0.000000
76,0.152000,50,0,0,0.038654,0.000000,-0.038654,0.000000
77,0.154000,50,0,0,0.038654,0.000000,-0.038654,0.000000
78,0.156000,50,1,0,0.038654,0.000000,0.961346,0.000000
79,0.158000,50,1,0,0.038654,0.000000,0.961346,0.000000
80,0.160000,50,0,0,0.038654,0.000000,-0.038654,0.000000
81,0.162000,50,0,0,0.038654,0.000000,-0.038654,0.000000
82,0.164000,50,0,0,0.038654,0.000000,-0.038654,0.000000
83,0.166000,50,0,0,0.038654,0.000000,-0.038654,0.000000
