k,time_s,pwmVal,position,courant,positionRef,courantRef,positionReel,courantReel
0,0.000000,50,427,516,429.301198,511.355250,-2.301198,4.644750
1,0.002000,50,428,517,429.301198,511.355250,-1.301198,5.644750
2,0.004000,50,427,516,429.301198,511.355250,-2.301198,4.644750
3,0.006000,50,427,516,429.301198,511.355250,-2.301198,4.644750
4,0.008000,50,427,516,429.301198,511.355250,-2.301198,4.644750
5,0.010000,50,427,515,429.301198,511.355250,-2.301198,3.644750
6,0.012000,50,428,515,429.301198,511.355250,-1.301198,3.644750
7,0.014000,50,427,515,429.301198,511.355250,-2.301198,3.644750
8,0.016000,50,427,516,429.301198,511.355250,-2.301198,4.644750
9,0.018000,50,427,516,429.301198,511.355250,-2.301198,4.644750
10,0.020000,50,427,516,429.301198,511.355250,-2.301198,4.644750
11,0.022000,50,428,516,429.301198,511.355250,-1.301198,4.644750
12,0.024000,50,427,516,429.301198,511.355250,-2.301198,4.644750
13,0.026000,50,426,516,429.301198,511.355250,-3.301198,4.644750
14,0.028000,50,427,516,429.301198,511.355250,-2.301198,4.644750
15,0.030000,50,427,515,429.301198,511.355250,-2.301198,3.644750
16,0.032000,50,428,516,429.301198,511.355250,-1.301198,4.644750
17,0.034000,50,428,516,429.301198,511.355250,-1.301198,4.644750
18,0.036000,50,428,516,429.301198,511.355250,-1.301198,4.644750
19,0.038000,50,428,516,429.301198,511.355250,-1.301198,4.644750
20,0.040000,50,428,516,429.301198,511.355250,-1.301198,4.644750
21,0.042000,50,428,516,429.301198,511.355250,-1.301198,4.644750
22,0.044000,50,428,515,429.301198,511.355250,-1.301198,3.644750
23,0.046000,50,428,516,429.301198,511.355250,-1.301198,4.644750
24,0.048000,50,428,515,429.301198,511.355250,-1.301198,3.644750
25,0.050000,50,428,516,429.301198,511.355250,-1.301198,4.644750
26,0.052000,50,428,516,429.301198,511.355250,-1.301198,4.644750
27,0.054000,50,428,516,429.301198,511.355250,-1.301198,4.644750
28,0.056000,50,429,516,429.301198,511.355250,-0.301198,4.644750
29,0.058000,50,428,516,429.301198,511.355250,-1.301198,4.644750
30,0.060000,50,428,516,429.301198,511.355250,-1.301198,4.644750
31,0.062000,50,428,516,429.301198,511.355250,-1.301198,4.644750
32,0.064000,50,429,516,429.301198,511.355250,-0.301198,4.644750
33,0.066000,50,428,516,429.301198,511.355250,-1.301198,4.644750
34,0.068000,50,427,515,429.301198,511.355250,-2.301198,3.644750
35,0.070000,50,428,515,429.301198,511.355250,-1.301198,3.644750
36,0.072000,50,428,516,429.301198,511.355250,-1.301198,4.644750
37,0.074000,50,428,516,429.301198,511.355250,-1.301198,4.644750
38,0.076000,50,428,516,429.301198,511.355250,-1.301198,4.644750
39,0.078000,50,428,515,429.301198,511.355250,-1.301198,3.644750
40,0.080000,50,428,516,429.301198,511.355250,-1.301198,4.644750
41,0.082000,50,429,516,429.301198,511.355250,-0.301198,4.644750
42,0.084000,50,428,516,429.301198,511.355250,-1.301198,4.644750
43,0.086000,50,428,516,429.301198,511.355250,-1.301198,4.644750
44,0.088000,50,428,515,429.301198,511.355250,-1.301198,3.644750
45,0.090000,50,428,516,429.301198,511.355250,-1.301198,4.644750
46,0.092000,50,429,516,429.301198,511.355250,-0.301198,4.644750
47,0.094000,50,430,516,429.301198,511.355250,0.698802,4.644750
48,0.096000,50,430,516,429.301198,511.355250,0.698802,4.644750
49,0.098000,50,429,516,429.301198,511.355250,-0.301198,4.644750
50,0.100000,50,429,517,429.301198,511.355250,-0.301198,5.644750
51,0.102000,50,429,515,429.301198,511.355250,-0.301198,3.644750
52,0.104000,50,429,515,429.301198,511.355250,-0.301198,3.644750
53,0.106000,50,429,516,429.301198,511.355250,-0.301198,4.644750
54,0.108000,50,428,516,429.301198,511.355250,-1.301198,4.644750
55,0.110000,50,428,516,429.301198,511.355250,-1.301198,4.644750
56,0.112000,50,429,515,429.301198,511.355250,-0.301198,3.644750
57,0.114000,50,429,516,429.301198,511.355250,-0.301198,4.644750
58,0.116000,50,429,515,429.301198,511.355250,-0.301198,3.644750
59,0.118000,50,429,515,429.301198,511.355250,-0.301198,3.644750
60,0.120000,50,429,516,429.301198,511.355250,-0.301198,4.644750
61,0.122000,50,429,516,429.301198,511.355250,-0.301198,4.644750
62,0.124000,50,429,515,429.301198,511.355250,-0.301198,3.644750
63,0.126000,50,429,515,429.301198,511.355250,-0.301198,3.644750
64,0.128000,50,429,516,429.301198,511.355250,-0.301198,4.644750
65,0.130000,50,429,516,429.301198,511.355250,-0.301198,4.644750
66,0.132000,50,429,516,429.301198,511.355250,-0.301198,4.644750
67,0.134000,50,429,516,429.301198,511.355250,-0.301198,4.644750
68,0.136000,50,429,515,429.301198,511.355250,-0.301198,3.644750
69,0.138000,50,430,516,429.301198,511.355250,0.698802,4.644750
70,0.140000,50,430,516,429.301198,511.355250,0.698802,4.644750
71,0.142000,50,429,516,429.301198,511.355250,-0.301198,4.644750
72,0.144000,50,428,516,429.301198,511.355250,-1.301198,4.644750
73,0.146000,50,429,516,429.301198,511.355250,-0.301198,4.644750
74,0.148000,50,432,517,429.301198,511.355250,2.698802,5.644750
75,0.150000,50,429,515,429.301198,511.355250,-0.301198,3.644750
76,0.152000,50,429,515,429.301198,511.355250,-0.301198,3.644750
77,0.154000,50,429,516,429.301198,511.355250,-0.301198,4.644750
78,0.156000,50,429,516,429.301198,511.355250,-0.301198,4.644750
79,0.158000,50,429,516,429.301198,511.355250,-0.301198,4.644750
80,0.160000,50,429,516,429.301198,511.355250,-0.301198,4.644750
81,0.162000,50,429,516,429.301198,511.355250,-0.301198,4.644750
82,0.164000,50,429,515,429.301198,511.355250,-0.301198,3.644750
83,0.166000,50,429,515,429.301198,511.355250,-0.301198,3.644750
84,0.168000,50,429,515,429.301198,511.355250,-0.301198,3.644750
85,0.170000,50,429,515,429.301198,511.355250,-0.301198,3.644750
86,0.172000,50,429,515,429.301198,511.355250,-0.301198,3.644750
87,0.174000,50,429,515,429.301198,511.355250,-0.301198,3.644750
88,0.176000,50,429,516,429.301198,511.355250,-0.301198,4.644750
89,0.178000,50,429,516,429.301198,511.355250,-0.301198,4.644750
90,0.180000,50,428,516,429.301198,511.355250,-1.301198,4.644750
91,0.182000,50,429,516,429.301198,511.355250,-0.301198,4.644750
92,0.184000,50,429,515,429.301198,511.355250,-0.301198,3.644750
93,0.186000,50,429,515,429.301198,511.355250,-0.301198,3.644750
94,0.188000,50,425,515,429.301198,511.355250,-4.301198,3.644750
95,0.190000,50,428,513,429.301198,511.355250,-1.301198,1.644750
96,0.192000,50,428,515,429.301198,511.355250,-1.301198,3.644750
97,0.194000,50,429,517,429.301198,511.355250,-0.301198,5.644750
98,0.196000,50,429,516,429.301198,511.355250,-0.301198,4.644750
99,0.198000,50,428,515,429.301198,511.355250,-1.301198,3.644750
100,0.200000,50,427,515,429.301198,511.355250,-2.301198,3.644750
101,0.202000,50,428,516,429.301198,511.355250,-1.301198,4.644750
102,0.204000,50,428,516,429.301198,511.355250,-1.301198,4.644750
103,0.206000,50,428,516,429.301198,511.355250,-1.301198,4.644750
104,0.208000,50,428,516,429.301198,511.355250,-1.301198,4.644750
105,0.210000,50,428,516,429.301198,511.355250,-1.301198,4.644750
106,0.212000,50,429,517,429.301198,511.355250,-0.301198,5.644750
107,0.214000,50,429,516,429.301198,511.355250,-0.301198,4.644750
108,0.216000,50,428,515,429.301198,511.355250,-1.301198,3.644750
109,0.218000,50,427,515,429.301198,511.355250,-2.301198,3.644750
110,0.220000,50,428,516,429.301198,511.355250,-1.301198,4.644750
111,0.222000,50,427,516,429.301198,511.355250,-2.301198,4.644750
112,0.224000,50,427,515,429.301198,511.355250,-2.301198,3.644750
113,0.226000,50,428,515,429.301198,511.355250,-1.301198,3.644750
114,0.228000,50,428,516,429.301198,511.355250,-1.301198,4.644750
115,0.230000,50,428,516,429.301198,511.355250,-1.301198,4.644750
116,0.232000,50,428,517,429.301198,511.355250,-1.301198,5.644750
117,0.234000,50,427,515,429.301198,511.355250,-2.301198,3.644750
118,0.236000,50,426,515,429.301198,511.355250,-3.301198,3.644750
119,0.238000,50,428,516,429.301198,511.355250,-1.301198,4.644750
